item_name,rejection_reason
AK-47 | Rat Rod (Well-Worn),low_volume
AK-47 | Red Laminate (Battle-Scarred),low_volume
AK-47 | Red Laminate (Factory New),low_volume
AK-47 | Red Laminate (Field-Tested),low_volume
AK-47 | Red Laminate (Minimal Wear),low_volume
AK-47 | Red Laminate (Well-Worn),low_volume
AK-47 | Redline (Battle-Scarred),low_volume
AK-47 | Redline (Minimal Wear),low_volume
AK-47 | Redline (Well-Worn),low_volume
AK-47 | Safari Mesh (Battle-Scarred), low_price
AK-47 | Safari Mesh (Factory New),low_volume
AK-47 | Safari Mesh (Field-Tested), low_price
AK-47 | Safari Mesh (Minimal Wear), low_price
AK-47 | Safari Mesh (Well-Worn), low_price
AK-47 | Safety Net (Battle-Scarred),low_volume
AK-47 | Safety Net (Factory New),low_volume
AK-47 | Safety Net (Minimal Wear),low_volume
AK-47 | Safety Net (Well-Worn),low_volume
AK-47 | Slate (Factory New),low_volume
AK-47 | Steel Delta (Battle-Scarred),low_volume
AK-47 | Steel Delta (Factory New),low_volume
AK-47 | Steel Delta (Well-Worn),low_volume
AK-47 | The Empress (Battle-Scarred),low_volume
AK-47 | The Empress (Factory New),low_volume
AK-47 | The Empress (Field-Tested),low_volume
AK-47 | The Empress (Minimal Wear),low_volume
AK-47 | The Empress (Well-Worn),low_volume
AK-47 | Uncharted (Battle-Scarred), low_price
AK-47 | Uncharted (Field-Tested), low_price
AK-47 | Vulcan (Battle-Scarred),low_volume
AK-47 | Vulcan (Factory New),low_volume
AK-47 | Vulcan (Field-Tested),low_volume
AK-47 | Vulcan (Minimal Wear),low_volume
AK-47 | Vulcan (Well-Worn),low_volume
AK-47 | Wasteland Rebel (Battle-Scarred),low_volume
AK-47 | Wasteland Rebel (Factory New),low_volume
AK-47 | Wasteland Rebel (Field-Tested),low_volume
AK-47 | Wasteland Rebel (Minimal Wear),low_volume
AK-47 | Wasteland Rebel (Well-Worn),low_volume
AK-47 | Wild Lotus (Battle-Scarred),low_volume
AK-47 | Wild Lotus (Factory New),low_volume
AK-47 | Wild Lotus (Field-Tested),low_volume
AK-47 | Wild Lotus (Minimal Wear),low_volume
AK-47 | Wild Lotus (Well-Worn),low_volume
AK-47 | X-Ray (Battle-Scarred),low_volume
AK-47 | X-Ray (Factory New),low_volume
AK-47 | X-Ray (Field-Tested),low_volume
AK-47 | X-Ray (Minimal Wear),low_volume
AK-47 | X-Ray (Well-Worn),low_volume
AUG | Akihabara Accept (Battle-Scarred),low_volume
AUG | Akihabara Accept (Factory New),low_volume
AUG | Akihabara Accept (Field-Tested),low_volume
AUG | Akihabara Accept (Minimal Wear),low_volume
AUG | Aristocrat (Factory New),low_volume
AUG | Aristocrat (Field-Tested),low_volume
AUG | Aristocrat (Minimal Wear),low_volume
AUG | Aristocrat (Well-Worn),low_volume
AUG | Bengal Tiger (Battle-Scarred),low_volume
AUG | Bengal Tiger (Factory New),low_volume
AUG | Bengal Tiger (Field-Tested),low_volume
AUG | Bengal Tiger (Minimal Wear),low_volume
AUG | Bengal Tiger (Well-Worn),low_volume
AUG | Carved Jade (Factory New),low_volume
AUG | Carved Jade (Field-Tested),low_volume
AUG | Carved Jade (Minimal Wear),low_volume
AUG | Chameleon (Battle-Scarred),low_volume
AUG | Chameleon (Factory New),low_volume
AUG | Chameleon (Field-Tested),low_volume
AUG | Chameleon (Minimal Wear),low_volume
AUG | Chameleon (Well-Worn),low_volume
AUG | Colony (Battle-Scarred),low_volume
AUG | Colony (Factory New),low_volume
AUG | Colony (Field-Tested),low_volume
AUG | Colony (Minimal Wear),low_volume
AUG | Colony (Well-Worn),low_volume
AUG | Condemned (Battle-Scarred), low_price
AUG | Condemned (Factory New),low_volume low_price
AUG | Condemned (Field-Tested), low_price
AUG | Condemned (Minimal Wear), low_price
AUG | Condemned (Well-Worn), low_price
AUG | Contractor (Battle-Scarred), low_price
AUG | Contractor (Factory New),low_volume low_price
AUG | Contractor (Field-Tested), low_price
AUG | Contractor (Minimal Wear), low_price
AUG | Contractor (Well-Worn), low_price
AUG | Copperhead (Field-Tested),low_volume
AUG | Copperhead (Minimal Wear),low_volume
AUG | Daedalus (Battle-Scarred),low_volume
AUG | Daedalus (Factory New),low_volume
AUG | Daedalus (Field-Tested),low_volume
AUG | Daedalus (Minimal Wear),low_volume
AUG | Daedalus (Well-Worn),low_volume
AUG | Death by Puppy (Factory New),low_volume
AK-47 | Jungle Spray (Factory New),low_volume
AK-47 | Jungle Spray (Field-Tested),low_volume
AUG | Akihabara Accept (Well-Worn),low_volume
AUG | Amber Fade (Factory New),low_volume
AUG | Amber Fade (Field-Tested),low_volume
AUG | Amber Fade (Minimal Wear),low_volume
AUG | Amber Fade (Well-Worn),low_volume
AUG | Amber Slipstream (Battle-Scarred),low_volume low_price
AUG | Amber Slipstream (Factory New),low_volume low_price
AUG | Amber Slipstream (Field-Tested),low_volume low_price
AUG | Amber Slipstream (Minimal Wear),low_volume low_price
AUG | Amber Slipstream (Well-Worn),low_volume low_price
AUG | Anodized Navy (Factory New),low_volume
AUG | Anodized Navy (Minimal Wear),low_volume
AUG | Arctic Wolf (Battle-Scarred),low_volume
AUG | Arctic Wolf (Factory New),low_volume
AUG | Arctic Wolf (Field-Tested),low_volume
AUG | Arctic Wolf (Minimal Wear),low_volume
AUG | Arctic Wolf (Well-Worn),low_volume
AUG | Aristocrat (Battle-Scarred),low_volume
AUG | Death by Puppy (Field-Tested),low_volume
AUG | Death by Puppy (Minimal Wear),low_volume
AUG | Death by Puppy (Well-Worn),low_volume
AUG | Flame Jörmungandr (Battle-Scarred),low_volume
AUG | Flame Jörmungandr (Factory New),low_volume
AUG | Flame Jörmungandr (Field-Tested),low_volume
AUG | Flame Jörmungandr (Minimal Wear),low_volume
AUG | Flame Jörmungandr (Well-Worn),low_volume
AUG | Fleet Flock (Battle-Scarred),low_volume
AUG | Fleet Flock (Factory New),low_volume
AUG | Fleet Flock (Field-Tested),low_volume
AUG | Fleet Flock (Minimal Wear),low_volume
AUG | Fleet Flock (Well-Worn),low_volume
AUG | Hot Rod (Factory New),low_volume
AUG | Hot Rod (Minimal Wear),low_volume
AUG | Midnight Lily (Battle-Scarred),low_volume
AUG | Midnight Lily (Factory New),low_volume
AUG | Midnight Lily (Field-Tested),low_volume
AUG | Midnight Lily (Minimal Wear),low_volume
AUG | Midnight Lily (Well-Worn),low_volume
AUG | Momentum (Battle-Scarred),low_volume
AUG | Momentum (Factory New),low_volume
AUG | Momentum (Field-Tested),low_volume
AUG | Momentum (Minimal Wear),low_volume
AUG | Momentum (Well-Worn),low_volume
AUG | Navy Murano (Battle-Scarred),low_volume
AUG | Navy Murano (Factory New),low_volume
AUG | Navy Murano (Field-Tested),low_volume
AUG | Navy Murano (Minimal Wear),low_volume
AUG | Navy Murano (Well-Worn),low_volume
AUG | Plague (Battle-Scarred),low_volume
AUG | Plague (Factory New),low_volume
AUG | Plague (Field-Tested),low_volume
AUG | Plague (Minimal Wear),low_volume
AUG | Plague (Well-Worn),low_volume
AUG | Radiation Hazard (Battle-Scarred),low_volume
AUG | Radiation Hazard (Factory New),low_volume
AUG | Radiation Hazard (Field-Tested),low_volume
AUG | Radiation Hazard (Minimal Wear),low_volume
AUG | Radiation Hazard (Well-Worn),low_volume
AUG | Random Access (Battle-Scarred),low_volume
AUG | Random Access (Factory New),low_volume
AUG | Random Access (Field-Tested),low_volume
AUG | Random Access (Minimal Wear),low_volume
AUG | Random Access (Well-Worn),low_volume
AUG | Ricochet (Battle-Scarred),low_volume low_price
AUG | Ricochet (Factory New),low_volume
AUG | Ricochet (Field-Tested), low_price
AUG | Ricochet (Minimal Wear),low_volume low_price
AUG | Ricochet (Well-Worn),low_volume low_price
AUG | Sand Storm (Battle-Scarred),low_volume
AUG | Sand Storm (Factory New),low_volume
AUG | Sand Storm (Field-Tested),low_volume
AUG | Sand Storm (Minimal Wear),low_volume
AUG | Sand Storm (Well-Worn),low_volume
AUG | Snake Pit (Battle-Scarred),low_volume low_price
AUG | Snake Pit (Factory New), low_price
AUG | Snake Pit (Field-Tested), low_price
AUG | Snake Pit (Minimal Wear), low_price
AUG | Snake Pit (Well-Worn),low_volume low_price
AUG | Spalted Wood (Battle-Scarred),low_volume
AUG | Spalted Wood (Factory New),low_volume
AUG | Spalted Wood (Field-Tested),low_volume
AUG | Spalted Wood (Minimal Wear),low_volume
AUG | Spalted Wood (Well-Worn),low_volume
AUG | Storm (Battle-Scarred), low_price
AUG | Storm (Factory New),low_volume low_price
AUG | Storm (Field-Tested), low_price
AUG | Storm (Minimal Wear), low_price
AUG | Storm (Well-Worn), low_price
AUG | Stymphalian (Battle-Scarred),low_volume
AUG | Stymphalian (Factory New),low_volume
AUG | Stymphalian (Field-Tested),low_volume
AUG | Stymphalian (Minimal Wear),low_volume
AUG | Stymphalian (Well-Worn),low_volume
AUG | Surveillance (Battle-Scarred),low_volume
AUG | Surveillance (Factory New),low_volume
AUG | Surveillance (Minimal Wear),low_volume
AUG | Surveillance (Well-Worn),low_volume
AUG | Sweeper (Battle-Scarred), low_price
AUG | Sweeper (Factory New), low_price
AUG | Sweeper (Field-Tested), low_price
AUG | Sweeper (Minimal Wear), low_price
AUG | Sweeper (Well-Worn), low_price
AUG | Syd Mead (Battle-Scarred),low_volume
AUG | Syd Mead (Factory New),low_volume
AUG | Syd Mead (Field-Tested),low_volume
AUG | Syd Mead (Minimal Wear),low_volume
AUG | Syd Mead (Well-Worn),low_volume
AUG | Tom Cat (Battle-Scarred),low_volume low_price
AUG | Tom Cat (Factory New),low_volume low_price
AUG | Tom Cat (Field-Tested), low_price
AUG | Tom Cat (Minimal Wear), low_price
AUG | Tom Cat (Well-Worn),low_volume low_price
AUG | Torque (Battle-Scarred),low_volume
AUG | Torque (Factory New),low_volume
AUG | Torque (Field-Tested),low_volume
AUG | Torque (Minimal Wear),low_volume
AUG | Torque (Well-Worn),low_volume
AUG | Triqua (Battle-Scarred),low_volume low_price
AUG | Triqua (Factory New),low_volume low_price
AUG | Triqua (Field-Tested), low_price
AUG | Triqua (Minimal Wear), low_price
AUG | Triqua (Well-Worn), low_price
AUG | Wings (Factory New),low_volume
AUG | Wings (Minimal Wear),low_volume
AWP | Acheron (Battle-Scarred), low_price
AWP | Acheron (Field-Tested), low_price
AWP | Acheron (Well-Worn),low_volume
AWP | Asiimov (Battle-Scarred),low_volume
AWP | Asiimov (Field-Tested),low_volume
AWP | Asiimov (Well-Worn),low_volume
AWP | Atheris (Factory New),low_volume
AWP | BOOM (Factory New),low_volume
AWP | BOOM (Field-Tested),low_volume
AWP | BOOM (Minimal Wear),low_volume
AWP | Black Nile (Battle-Scarred),low_volume
AWP | Black Nile (Factory New),low_volume
AWP | Black Nile (Well-Worn),low_volume
AWP | Capillary (Battle-Scarred), low_price
AWP | Capillary (Factory New),low_volume
AWP | Capillary (Field-Tested), low_price
AWP | Capillary (Minimal Wear), low_price
AWP | Capillary (Well-Worn), low_price
AWP | Chromatic Aberration (Battle-Scarred),low_volume
AWP | Chromatic Aberration (Factory New),low_volume
AWP | Chromatic Aberration (Well-Worn),low_volume
AWP | Chrome Cannon (Battle-Scarred),low_volume
AWP | Chrome Cannon (Factory New),low_volume
AWP | Chrome Cannon (Field-Tested),low_volume
AWP | Chrome Cannon (Minimal Wear),low_volume
AWP | Chrome Cannon (Well-Worn),low_volume
AWP | Containment Breach (Battle-Scarred),low_volume
AWP | Containment Breach (Factory New),low_volume
AWP | Containment Breach (Field-Tested),low_volume
AWP | Containment Breach (Minimal Wear),low_volume
AWP | Containment Breach (Well-Worn),low_volume
AWP | Corticera (Factory New),low_volume
AWP | Corticera (Field-Tested),low_volume
AWP | Corticera (Minimal Wear),low_volume
AWP | Desert Hydra (Battle-Scarred),low_volume
AWP | Desert Hydra (Factory New),low_volume
AWP | Desert Hydra (Field-Tested),low_volume
AWP | Desert Hydra (Minimal Wear),low_volume
AWP | Desert Hydra (Well-Worn),low_volume
AWP | Doodle Lore (Battle-Scarred),low_volume
AWP | Doodle Lore (Factory New),low_volume
AWP | Doodle Lore (Minimal Wear),low_volume
AWP | Doodle Lore (Well-Worn),low_volume
AWP | Dragon Lore (Battle-Scarred),low_volume
AWP | Dragon Lore (Factory New),low_volume
AWP | Dragon Lore (Field-Tested),low_volume
AWP | Dragon Lore (Minimal Wear),low_volume
AWP | Dragon Lore (Well-Worn),low_volume
AWP | Duality (Factory New),low_volume
AWP | Duality (Well-Worn),low_volume
AWP | Electric Hive (Factory New),low_volume
AWP | Electric Hive (Field-Tested),low_volume
AWP | Electric Hive (Minimal Wear),low_volume
AWP | Electric Hive (Well-Worn),low_volume
AWP | Elite Build (Battle-Scarred),low_volume
AWP | Elite Build (Factory New),low_volume
AWP | Elite Build (Field-Tested),low_volume
AWP | Elite Build (Minimal Wear),low_volume
AWP | Elite Build (Well-Worn),low_volume
AWP | Exoskeleton (Battle-Scarred),low_volume
AWP | Exoskeleton (Factory New),low_volume
AWP | Exoskeleton (Minimal Wear),low_volume
AWP | Exoskeleton (Well-Worn),low_volume
AWP | Fade (Factory New),low_volume
AWP | Fade (Minimal Wear),low_volume
AWP | Fever Dream (Battle-Scarred),low_volume
AWP | Fever Dream (Factory New),low_volume
AWP | Fever Dream (Field-Tested),low_volume
AWP | Fever Dream (Minimal Wear),low_volume
AWP | Fever Dream (Well-Worn),low_volume
AWP | Graphite (Factory New),low_volume
AWP | Graphite (Minimal Wear),low_volume
AWP | Gungnir (Battle-Scarred),low_volume
AWP | Gungnir (Factory New),low_volume
AWP | Gungnir (Field-Tested),low_volume
AWP | Gungnir (Minimal Wear),low_volume
AWP | Gungnir (Well-Worn),low_volume
AWP | Hyper Beast (Battle-Scarred),low_volume
AWP | Hyper Beast (Factory New),low_volume
AWP | Hyper Beast (Field-Tested),low_volume
AWP | Hyper Beast (Minimal Wear),low_volume
AWP | Hyper Beast (Well-Worn),low_volume
AWP | Lightning Strike (Factory New),low_volume
AWP | Lightning Strike (Minimal Wear),low_volume
AWP | Man-o'-war (Field-Tested),low_volume
AWP | Man-o'-war (Minimal Wear),low_volume
AWP | Medusa (Battle-Scarred),low_volume
AWP | Medusa (Factory New),low_volume
AWP | Medusa (Field-Tested),low_volume
AWP | Medusa (Minimal Wear),low_volume
AWP | Medusa (Well-Worn),low_volume
AWP | Mortis (Battle-Scarred),low_volume
AWP | Mortis (Factory New),low_volume
AWP | Mortis (Well-Worn),low_volume
AWP | Neo-Noir (Battle-Scarred),low_volume
AWP | Neo-Noir (Factory New),low_volume
AWP | Neo-Noir (Minimal Wear),low_volume
AWP | Neo-Noir (Well-Worn),low_volume
AWP | Oni Taiji (Battle-Scarred),low_volume
AWP | Oni Taiji (Factory New),low_volume
AWP | Oni Taiji (Field-Tested),low_volume
AWP | Oni Taiji (Minimal Wear),low_volume
AWP | Oni Taiji (Well-Worn),low_volume
AWP | PAW (Battle-Scarred),low_volume
AWP | PAW (Factory New),low_volume
AWP | PAW (Well-Worn),low_volume
AWP | POP AWP (Factory New),low_volume
AWP | POP AWP (Field-Tested),low_volume
AWP | POP AWP (Minimal Wear),low_volume
AWP | POP AWP (Well-Worn),low_volume
AWP | Phobos (Factory New),low_volume
AWP | Phobos (Well-Worn),low_volume
AWP | Pink DDPAT (Battle-Scarred),low_volume
AWP | Pink DDPAT (Factory New),low_volume
AWP | Pink DDPAT (Field-Tested),low_volume
AWP | Pink DDPAT (Minimal Wear),low_volume
AWP | Pink DDPAT (Well-Worn),low_volume
AWP | Pit Viper (Battle-Scarred),low_volume low_price
AWP | Pit Viper (Field-Tested), low_price
AWP | Pit Viper (Well-Worn), low_price
AWP | Redline (Field-Tested),low_volume
AWP | Redline (Minimal Wear),low_volume
AWP | Redline (Well-Worn),low_volume
AWP | Safari Mesh (Battle-Scarred), low_price
AWP | Safari Mesh (Factory New),low_volume
AWP | Safari Mesh (Field-Tested), low_price
AWP | Safari Mesh (Minimal Wear), low_price
AWP | Safari Mesh (Well-Worn), low_price
AWP | Silk Tiger (Battle-Scarred),low_volume
AWP | Silk Tiger (Factory New),low_volume
AWP | Silk Tiger (Field-Tested),low_volume
AWP | Silk Tiger (Minimal Wear),low_volume
AWP | Silk Tiger (Well-Worn),low_volume
AWP | Snake Camo (Battle-Scarred),low_volume
AWP | Snake Camo (Factory New),low_volume
AWP | Snake Camo (Field-Tested),low_volume
AWP | Snake Camo (Minimal Wear),low_volume
AWP | Snake Camo (Well-Worn),low_volume
AWP | Sun in Leo (Battle-Scarred),low_volume
AWP | Sun in Leo (Factory New),low_volume
AWP | Sun in Leo (Field-Tested),low_volume
AWP | Sun in Leo (Minimal Wear),low_volume
AWP | Sun in Leo (Well-Worn),low_volume
AWP | The Prince (Battle-Scarred),low_volume
AWP | The Prince (Factory New),low_volume
AWP | The Prince (Field-Tested),low_volume
AWP | The Prince (Minimal Wear),low_volume
AWP | The Prince (Well-Worn),low_volume
AWP | Wildfire (Battle-Scarred),low_volume
AWP | Wildfire (Factory New),low_volume
AWP | Wildfire (Field-Tested),low_volume
AWP | Wildfire (Minimal Wear),low_volume
AWP | Wildfire (Well-Worn),low_volume
AWP | Worm God (Well-Worn),low_volume
Aces High Pin,low_volume
Alyx Pin,low_volume
Ambush Sticker Capsule,low_volume
Antwerp 2022 Ancient Souvenir Package,low_volume
Antwerp 2022 Challengers Autograph Capsule, low_price
Antwerp 2022 Challengers Sticker Capsule, low_price
Antwerp 2022 Champions Autograph Capsule, low_price
Antwerp 2022 Contenders Autograph Capsule, low_price
Antwerp 2022 Contenders Sticker Capsule, low_price
Antwerp 2022 Dust II Souvenir Package,low_volume
Antwerp 2022 Inferno Souvenir Package,low_volume
Antwerp 2022 Legends Autograph Capsule, low_price
Antwerp 2022 Legends Sticker Capsule, low_price
Antwerp 2022 Mirage Souvenir Package,low_volume
Antwerp 2022 Nuke Souvenir Package,low_volume
Antwerp 2022 Overpass Souvenir Package,low_volume
Antwerp 2022 Vertigo Souvenir Package,low_volume
Antwerp 2022 Viewer Pass,low_volume
Antwerp 2022 Viewer Pass + 3 Souvenir Tokens,low_volume
Arno The Overgrown | Guerrilla Warfare,low_volume
Aspirant | Gendarmerie Nationale,low_volume
Atlanta 2017 Cache Souvenir Package,low_volume
Atlanta 2017 Challengers (Holo-Foil),low_volume
Atlanta 2017 Cobblestone Souvenir Package,low_volume
Atlanta 2017 Dust II Souvenir Package,low_volume
Atlanta 2017 Legends (Holo-Foil),low_volume
Atlanta 2017 Mirage Souvenir Package,low_volume
Atlanta 2017 Nuke Souvenir Package,low_volume
Atlanta 2017 Overpass Souvenir Package,low_volume
Atlanta 2017 Train Souvenir Package,low_volume
Audience Participation Parcel,low_volume
Autograph Capsule | Astralis | Atlanta 2017,low_volume
Autograph Capsule | Astralis | Cologne 2016,low_volume
Autograph Capsule | Astralis | MLG Columbus 2016,low_volume
Autograph Capsule | Challengers (Foil) | Atlanta 2017,low_volume
Autograph Capsule | Challengers (Foil) | Cluj-Napoca 2015,low_volume
Autograph Capsule | Challengers (Foil) | Cologne 2016,low_volume
Autograph Capsule | Challengers (Foil) | MLG Columbus 2016,low_volume
Autograph Capsule | Cloud9 G2A | Cologne 2015,low_volume
Autograph Capsule | Cloud9 | Cluj-Napoca 2015,low_volume
Autograph Capsule | Cloud9 | MLG Columbus 2016,low_volume
Autograph Capsule | Counter Logic Gaming | Cluj-Napoca 2015,low_volume
Autograph Capsule | Counter Logic Gaming | Cologne 2015,low_volume
Autograph Capsule | Counter Logic Gaming | Cologne 2016,low_volume
Autograph Capsule | Counter Logic Gaming | MLG Columbus 2016,low_volume
Autograph Capsule | FaZe Clan | Atlanta 2017,low_volume
Autograph Capsule | FaZe Clan | Cologne 2016,low_volume
Autograph Capsule | FaZe Clan | MLG Columbus 2016,low_volume
Autograph Capsule | Flipsid3 Tactics | Atlanta 2017,low_volume
Autograph Capsule | Flipsid3 Tactics | Cluj-Napoca 2015,low_volume
Autograph Capsule | Flipsid3 Tactics | Cologne 2015,low_volume
Autograph Capsule | Flipsid3 Tactics | Cologne 2016,low_volume
Autograph Capsule | Flipsid3 Tactics | MLG Columbus 2016,low_volume
Autograph Capsule | Fnatic | Atlanta 2017,low_volume
Autograph Capsule | Fnatic | Cluj-Napoca 2015,low_volume
Autograph Capsule | Fnatic | Cologne 2015,low_volume
Autograph Capsule | Fnatic | Cologne 2016,low_volume
Autograph Capsule | Fnatic | MLG Columbus 2016,low_volume
Autograph Capsule | G2 Esports | Atlanta 2017,low_volume
Autograph Capsule | G2 Esports | Cluj-Napoca 2015,low_volume
Autograph Capsule | G2 Esports | Cologne 2016,low_volume
Autograph Capsule | G2 Esports | MLG Columbus 2016,low_volume
