StatTrak™ MAC-10 | Stalker (Battle-Scarred)
★ M9 Bayonet | Damascus Steel (Field-Tested)
StatTrak™ Dual Berettas | Cobra Strike (Minimal Wear)
Sticker | Spiidi | MLG Columbus 2016
AK-47 | Point Disarray (Battle-Scarred)
UMP-45 | Delusion (Factory New)
StatTrak™ AWP | Elite Build (Field-Tested)
Sticker | Xyp9x | MLG Columbus 2016
Sawed-Off | Highwayman (Factory New)
Desert Eagle | Sunset Storm 弐 (Factory New)
PP-Bizon | Blue Streak (Well-Worn)
SCAR-20 | Outbreak (Minimal Wear)
AWP | Containment Breach (Field-Tested)
Souvenir MP9 | Setting Sun (Battle-Scarred)
Galil AR | Firefight (Well-Worn)
Sticker | KRIMZ | Cologne 2016
MP5-SD | Acid Wash (Factory New)
Sticker | karrigan (Foil) | Cologne 2015
G3SG1 | Flux (Minimal Wear)
StatTrak™ SG 553 | Atlas (Minimal Wear)
StatTrak™ R8 Revolver | Reboot (Field-Tested)
XM1014 | Quicksilver (Battle-Scarred)
G3SG1 | Orange Crash (Field-Tested)
StatTrak™ SG 553 | Cyrex (Minimal Wear)
StatTrak™ AUG | Bengal Tiger (Minimal Wear)
P2000 | Coach Class (Field-Tested)
M4A1-S | Mecha Industries (Battle-Scarred)
StatTrak™ MAC-10 | Curse (Factory New)
MAC-10 | Carnivore (Minimal Wear)
P2000 | Obsidian (Well-Worn)
CZ75-Auto | Indigo (Field-Tested)
MAC-10 | Classic Crate (Battle-Scarred)
StatTrak™ MP9 | Bioleak (Minimal Wear)
Tec-9 | Ice Cap (Field-Tested)
R8 Revolver | Memento (Field-Tested)
StatTrak™ CZ75-Auto | Polymer (Minimal Wear)
StatTrak™ M249 | Nebula Crusader (Field-Tested)
AK-47 | Orbit Mk01 (Field-Tested)
Five-SeveN | Jungle (Well-Worn)
StatTrak™ Five-SeveN | Monkey Business (Battle-Scarred)
M4A4 | Dark Blossom (Field-Tested)
StatTrak™ XM1014 | Red Python (Well-Worn)
"StatTrak™ Music Kit | Mord Fustang, Diamonds"
Sawed-Off | Highwayman (Battle-Scarred)
Sticker | Crown (Foil)
XM1014 | Black Tie (Minimal Wear)
AK-47 | Point Disarray (Factory New)
StatTrak™ Sawed-Off | Fubar (Battle-Scarred)
Sticker | Luck Skill (Foil)
StatTrak™ UMP-45 | Briefing (Minimal Wear)
Sawed-Off | Yorick (Minimal Wear)
★ Hydra Gloves | Rattler (Field-Tested)
M4A1-S | Decimator (Minimal Wear)
StatTrak™ MP9 | Modest Threat (Well-Worn)
Dual Berettas | Balance (Minimal Wear)
Sticker | Stupid Banana (Foil)
MP9 | Slide (Factory New)
Sticker | Supreme Master First Class
StatTrak™ M249 | Spectre (Field-Tested)
PP-Bizon | Embargo (Field-Tested)
"Music Kit | Sean Murray, A*D*8"
SCAR-20 | Torn (Minimal Wear)
MAC-10 | Carnivore (Field-Tested)
StatTrak™ Sawed-Off | Highwayman (Minimal Wear)
StatTrak™ CZ75-Auto | Pole Position (Well-Worn)
StatTrak™ AUG | Torque (Well-Worn)
StatTrak™ Glock-18 | Ironwork (Field-Tested)
Sticker | NiKo | Cluj-Napoca 2015
MP7 | Impire (Field-Tested)
MAG-7 | Praetorian (Field-Tested)
StatTrak™ Dual Berettas | Cartel (Field-Tested)
MAC-10 | Nuclear Garden (Battle-Scarred)
StatTrak™ Dual Berettas | Balance (Field-Tested)
FAMAS | Decommissioned (Well-Worn)
StatTrak™ G3SG1 | Orange Crash (Field-Tested)
SCAR-20 | Powercore (Field-Tested)
R8 Revolver | Canal Spray (Minimal Wear)
StatTrak™ PP-Bizon | Photic Zone (Well-Worn)
SCAR-20 | Stone Mosaico (Minimal Wear)
XM1014 | Scumbria (Battle-Scarred)
★ Karambit | Ultraviolet (Field-Tested)
★ Bayonet | Damascus Steel (Field-Tested)
FAMAS | Styx (Battle-Scarred)
AUG | Navy Murano (Minimal Wear)
StatTrak™ MAC-10 | Carnivore (Minimal Wear)
Dual Berettas | Pyre (Minimal Wear)
StatTrak™ P250 | Verdigris (Well-Worn)
StatTrak™ Glock-18 | Ironwork (Well-Worn)
★ Falchion Knife | Fade (Factory New)
StatTrak™ MAC-10 | Lapis Gator (Factory New)
M4A1-S | Flashback (Battle-Scarred)
StatTrak™ XM1014 | Scumbria (Minimal Wear)
Glock-18 | Royal Legion (Battle-Scarred)
SCAR-20 | Army Sheen (Factory New)
Tec-9 | Flash Out (Field-Tested)
StatTrak™ Dual Berettas | Balance (Minimal Wear)
G3SG1 | Black Sand (Minimal Wear)
Nova | Ranger (Factory New)
Sticker | Silver
StatTrak™ AK-47 | Frontside Misty (Well-Worn)
Negev | Power Loader (Well-Worn)
M4A1-S | Flashback (Factory New)
USP-S | Para Green (Well-Worn)
SCAR-20 | Torn (Factory New)
MP5-SD | Acid Wash (Minimal Wear)
P250 | Iron Clad (Field-Tested)
XM1014 | Slipstream (Factory New)
Sawed-Off | Limelight (Minimal Wear)
G3SG1 | Orange Kimono (Factory New)
StatTrak™ XM1014 | Quicksilver (Battle-Scarred)
StatTrak™ CZ75-Auto | Imprint (Well-Worn)
SCAR-20 | Outbreak (Factory New)
PP-Bizon | Judgement of Anubis (Field-Tested)
StatTrak™ AK-47 | Frontside Misty (Battle-Scarred)
Negev | Power Loader (Minimal Wear)
StatTrak™ Five-SeveN | Fowl Play (Battle-Scarred)
Tec-9 | Jambiya (Minimal Wear)
StatTrak™ Galil AR | Eco (Well-Worn)
M4A1-S | Flashback (Well-Worn)
StatTrak™ Galil AR | Chatterbox (Well-Worn)
AK-47 | Orbit Mk01 (Minimal Wear)
StatTrak™ AK-47 | Point Disarray (Field-Tested)
P2000 | Grassland (Battle-Scarred)
StatTrak™ Five-SeveN | Scumbria (Well-Worn)
R8 Revolver | Canal Spray (Field-Tested)
StatTrak™ Tec-9 | Jambiya (Field-Tested)
StatTrak™ UMP-45 | Briefing (Well-Worn)
StatTrak™ FAMAS | Survivor Z (Battle-Scarred)
Souvenir P250 | Contamination (Factory New)
R8 Revolver | Memento (Minimal Wear)
Nova | Exo (Field-Tested)
SCAR-20 | Bloodsport (Factory New)
StatTrak™ MP7 | Neon Ply (Field-Tested)
CZ75-Auto | Imprint (Minimal Wear)
SG 553 | Triarch (Field-Tested)
Glock-18 | Weasel (Battle-Scarred)
Souvenir Sawed-Off | Amber Fade (Minimal Wear)
USP-S | Cyrex (Battle-Scarred)
XM1014 | Red Python (Well-Worn)
M4A1-S | Decimator (Field-Tested)
Souvenir MP7 | Orange Peel (Well-Worn)
Five-SeveN | Retrobution (Well-Worn)
P250 | Iron Clad (Minimal Wear)
SG 553 | Colony IV (Battle-Scarred)
MAG-7 | Petroglyph (Minimal Wear)
SCAR-20 | Green Marine (Battle-Scarred)
StatTrak™ CZ75-Auto | Polymer (Field-Tested)
Glock-18 | Wraiths (Well-Worn)
AK-47 | First Class (Well-Worn)
R8 Revolver | Crimson Web (Battle-Scarred)
StatTrak™ Glock-18 | Weasel (Well-Worn)
Glock-18 | Groundwater (Well-Worn)
StatTrak™ MAC-10 | Carnivore (Well-Worn)
MAG-7 | Praetorian (Minimal Wear)
StatTrak™ MAG-7 | Heat (Factory New)
P90 | Grim (Field-Tested)
Negev | Loudmouth (Battle-Scarred)
StatTrak™ SG 553 | Wave Spray (Battle-Scarred)
StatTrak™ Five-SeveN | Violent Daimyo (Factory New)
P250 | Mint Kimono (Battle-Scarred)
AK-47 | Fuel Injector (Battle-Scarred)
Sticker | flusha | Cologne 2016
★ Flip Knife | Urban Masked (Minimal Wear)
SCAR-20 | Torn (Field-Tested)
Sticker | dennis | Cologne 2016
StatTrak™ SCAR-20 | Green Marine (Minimal Wear)
Nova | Exo (Minimal Wear)
CZ75-Auto | Red Astor (Battle-Scarred)
FAMAS | Night Borre (Minimal Wear)
StatTrak™ CZ75-Auto | Imprint (Battle-Scarred)
Sticker | PGL (Holo) | Krakow 2017
Souvenir PP-Bizon | Brass (Field-Tested)
Boston 2018 Minor Challengers with Flash Gaming Autograph Capsule
StatTrak™ M4A4 | X-Ray (Field-Tested)
MAG-7 | Petroglyph (Field-Tested)
Glock-18 | Weasel (Factory New)
G3SG1 | Safari Mesh (Battle-Scarred)
StatTrak™ Dual Berettas | Ventilators (Factory New)
Sticker | wayLander (Foil) | Cologne 2016
XM1014 | Slipstream (Minimal Wear)
Sawed-Off | Yorick (Well-Worn)
Sticker | Skull Lil Boney
M249 | Nebula Crusader (Battle-Scarred)
Tec-9 | Remote Control (Well-Worn)
★ Bayonet | Marble Fade (Factory New)
SSG 08 | Dragonfire (Factory New)
SSG 08 | Big Iron (Factory New)
Sealed Graffiti | Cloud9 | Krakow 2017
FAMAS | Mecha Industries (Factory New)
Souvenir AUG | Radiation Hazard (Well-Worn)
P90 | Shallow Grave (Minimal Wear)
★ Falchion Knife | Ultraviolet (Minimal Wear)
StatTrak™ Galil AR | Black Sand (Minimal Wear)
USP-S | Cyrex (Well-Worn)
StatTrak™ Sawed-Off | Origami (Battle-Scarred)
StatTrak™ PP-Bizon | Photic Zone (Minimal Wear)
StatTrak™ AWP | Hyper Beast (Minimal Wear)
StatTrak™ Glock-18 | Royal Legion (Well-Worn)
StatTrak™ FAMAS | Djinn (Minimal Wear)
StatTrak™ P2000 | Turf (Field-Tested)
StatTrak™ Galil AR | Firefight (Field-Tested)
StatTrak™ Five-SeveN | Scumbria (Minimal Wear)
StatTrak™ MP9 | Bioleak (Factory New)
SCAR-20 | Palm (Minimal Wear)
CZ75-Auto | Yellow Jacket (Battle-Scarred)
Sticker | kennyS (Foil) | Cologne 2016
CZ75-Auto | Indigo (Battle-Scarred)
MAC-10 | Carnivore (Well-Worn)
Sticker | The Spartan
Sealed Graffiti | Smarmy (Desert Amber)
StatTrak™ MP7 | Cirrus (Field-Tested)
StatTrak™ P250 | Iron Clad (Battle-Scarred)
★ StatTrak™ Paracord Knife | Case Hardened (Field-Tested)
Patch | Longevity
Negev | Boroque Sand (Well-Worn)
Patch | Howl
Patch | Rage
StatTrak™ Dual Berettas | Cartel (Well-Worn)
Patch | Chicken Lover
Patch | Danger Zone
Patch | The Boss
★ Butterfly Knife | Stained (Battle-Scarred)
Patch | Vanguard
Patch | Koi
Patch | Shattered Web
Patch | Breakout
CS:GO Patch Pack
Patch | Hydra
★ Huntsman Knife | Blue Steel (Minimal Wear)
Patch | Wildfire
Patch | Easy Peasy
StatTrak™ G3SG1 | Ventilator (Field-Tested)
G3SG1 | Orange Crash (Factory New)
★ Huntsman Knife | Stained (Minimal Wear)
StatTrak™ Five-SeveN | Buddy (Field-Tested)
P2000 | Red FragCam (Well-Worn)
SSG 08 | Necropos (Factory New)
★ StatTrak™ Survival Knife | Urban Masked (Battle-Scarred)
★ StatTrak™ Survival Knife | Crimson Web (Minimal Wear)
★ StatTrak™ Skeleton Knife | Scorched (Well-Worn)
Sticker | Skulltorgeist
★ StatTrak™ Nomad Knife | Boreal Forest (Battle-Scarred)
★ StatTrak™ Paracord Knife | Blue Steel (Minimal Wear)
★ Flip Knife | Rust Coat (Well-Worn)
Negev | Boroque Sand (Minimal Wear)
★ StatTrak™ Paracord Knife | Forest DDPAT (Factory New)
★ Gut Knife | Night (Minimal Wear)
StatTrak™ P2000 | Turf (Minimal Wear)
StatTrak™ UMP-45 | Momentum (Factory New)
★ Survival Knife | Forest DDPAT (Factory New)
★ Nomad Knife | Night Stripe (Factory New)
StatTrak™ Glock-18 | Ironwork (Battle-Scarred)
MP7 | Special Delivery (Factory New)
★ Nomad Knife | Night Stripe (Well-Worn)
Nova | Plume (Field-Tested)
StatTrak™ M4A1-S | Decimator (Field-Tested)
★ StatTrak™ Skeleton Knife | Safari Mesh (Battle-Scarred)
Nova | Exo (Factory New)
Patch | Phoenix
Sticker | Chabo
Sticker | Bombsquad
Patch | Dragon
MAG-7 | Petroglyph (Factory New)
Patch | Bravo
Patch | Bloodhound
SG 553 | Tiger Moth (Battle-Scarred)
Five-SeveN | Scumbria (Minimal Wear)
Pinups Capsule
Patch | Welcome to the Clutch
SCAR-20 | Green Marine (Factory New)
Patch | Payback
StatTrak™ M4A4 | Desolate Space (Field-Tested)
Patch | Vigilance
★ Skeleton Knife | Urban Masked (Factory New)
Patch | Crazy Banana
★ StatTrak™ Survival Knife | Stained (Factory New)
USP-S | Torque (Battle-Scarred)
★ StatTrak™ Nomad Knife | Safari Mesh (Well-Worn)
★ StatTrak™ Nomad Knife | Blue Steel (Minimal Wear)
★ StatTrak™ Skeleton Knife | Slaughter (Field-Tested)
R8 Revolver | Nitro (Factory New)
Glock-18 | Groundwater (Battle-Scarred)
Souvenir Tec-9 | Brass (Well-Worn)
PP-Bizon | Embargo (Well-Worn)
P250 | Inferno (Battle-Scarred)
StatTrak™ Glock-18 | Wraiths (Factory New)
P2000 | Imperial (Field-Tested)
SCAR-20 | Powercore (Minimal Wear)
G3SG1 | Orange Crash (Minimal Wear)
"Music Kit | Sasha, LNOE"
Galil AR | Chatterbox (Field-Tested)
StatTrak™ Dual Berettas | Ventilators (Minimal Wear)
MP5-SD | Bamboo Garden (Field-Tested)
MAC-10 | Rangeen (Well-Worn)
Sawed-Off | Irradiated Alert (Battle-Scarred)
UMP-45 | Plastique (Factory New)
MP7 | Neon Ply (Battle-Scarred)
Tec-9 | Toxic (Well-Worn)
Sticker | The Samurai
Sticker | MIBR (Foil) | London 2018
StatTrak™ Galil AR | Black Sand (Field-Tested)
StatTrak™ XM1014 | Slipstream (Minimal Wear)
★ Skeleton Knife | Stained (Factory New)
Sealed Graffiti | Hop (Blood Red)
StatTrak™ AK-47 | Aquamarine Revenge (Battle-Scarred)
CZ75-Auto | Imprint (Field-Tested)
P2000 | Coach Class (Minimal Wear)
Sticker | Silent Ninja
Sticker | The Zombie
G3SG1 | Ventilator (Factory New)
Desert Eagle | Pilot (Minimal Wear)
Souvenir Five-SeveN | Orange Peel (Well-Worn)
StatTrak™ Dual Berettas | Elite 1.6 (Factory New)
★ Nomad Knife | Safari Mesh (Factory New)
SG 553 | Barricade (Factory New)
R8 Revolver | Reboot (Well-Worn)
★ Flip Knife | Damascus Steel (Field-Tested)
UMP-45 | Plastique (Battle-Scarred)
P90 | Grim (Battle-Scarred)
Negev | Boroque Sand (Field-Tested)
★ Ursus Knife | Damascus Steel (Minimal Wear)
P2000 | Imperial Dragon (Factory New)
SG 553 | Barricade (Minimal Wear)
StatTrak™ UMP-45 | Briefing (Battle-Scarred)
Sealed Graffiti | Little Bock (Bazooka Pink)
Sticker | DeadFox (Foil) | London 2018
Dual Berettas | Cartel (Well-Worn)
StatTrak™ XM1014 | Scumbria (Battle-Scarred)
P250 | Dark Filigree (Factory New)
Five-SeveN | Violent Daimyo (Battle-Scarred)
★ StatTrak™ Classic Knife | Urban Masked (Minimal Wear)
Sticker | olofmeister | Krakow 2017
Tec-9 | Rust Leaf (Field-Tested)
★ StatTrak™ Survival Knife | Stained (Field-Tested)
FAMAS | Night Borre (Field-Tested)
Dual Berettas | Balance (Battle-Scarred)
Tec-9 | Rust Leaf (Minimal Wear)
Sealed Graffiti | 200 IQ (Wire Blue)
StatTrak™ AUG | Arctic Wolf (Minimal Wear)
MAG-7 | Firestarter (Battle-Scarred)
★ StatTrak™ Nomad Knife | Forest DDPAT (Minimal Wear)
AK-47 | Neon Revolution (Battle-Scarred)
★ Survival Knife | Blue Steel (Factory New)
Dual Berettas | Urban Shock (Well-Worn)
Sealed Graffiti | 200 IQ (Monster Purple)
PP-Bizon | Harvester (Field-Tested)
UMP-45 | Briefing (Minimal Wear)
StatTrak™ M4A4 | Evil Daimyo (Battle-Scarred)
★ StatTrak™ Survival Knife | Urban Masked (Minimal Wear)
★ StatTrak™ Survival Knife | Blue Steel (Battle-Scarred)
Sticker | Nelu the Bear
StatTrak™ G3SG1 | Murky (Field-Tested)
StatTrak™ MP5-SD | Agent (Well-Worn)
Sealed Graffiti | Hop (Monarch Blue)
SG 553 | Triarch (Well-Worn)
Five-SeveN | Triumvirate (Factory New)
StatTrak™ CZ75-Auto | Eco (Factory New)
MAC-10 | Surfwood (Field-Tested)
Sticker | Queen Of Pain
StatTrak™ MP7 | Cirrus (Minimal Wear)
USP-S | Neo-Noir (Field-Tested)
StatTrak™ FAMAS | Afterimage (Factory New)
Sealed Graffiti | 200 IQ (Brick Red)
Sealed Graffiti | Smarmy (SWAT Blue)
FAMAS | Roll Cage (Well-Worn)
★ StatTrak™ Skeleton Knife | Case Hardened (Well-Worn)
P90 | Sunset Lily (Minimal Wear)
SSG 08 | Red Stone (Field-Tested)
Shadow Case
XM1014 | Slipstream (Field-Tested)
StatTrak™ CZ75-Auto | Polymer (Factory New)
P90 | Facility Negative (Well-Worn)
Sticker | Flickshot
AWP | Containment Breach (Battle-Scarred)
Sticker | Ninjas in Pyjamas (Foil) | London 2018
Sticker | Skull Troop
AK-47 | Bloodsport (Field-Tested)
Sealed Graffiti | Fart (Jungle Green)
Sawed-Off | Rust Coat (Factory New)
Sticker | The Guru
SCAR-20 | Stone Mosaico (Field-Tested)
SSG 08 | Sand Dune (Battle-Scarred)
★ Classic Knife | Blue Steel (Field-Tested)
AUG | Navy Murano (Field-Tested)
Sticker | SnypeR (Foil) | Cologne 2015
CZ75-Auto | Imprint (Well-Worn)
StatTrak™ MP7 | Special Delivery (Field-Tested)
★ StatTrak™ Skeleton Knife | Crimson Web (Well-Worn)
Sealed Graffiti | Smarmy (Princess Pink)
Sealed Graffiti | Dizzy (Tracer Yellow)
★ StatTrak™ Paracord Knife | Urban Masked (Battle-Scarred)
Sticker | Combine Helmet
Combine Helmet Pin
★ StatTrak™ Survival Knife | Scorched (Battle-Scarred)
Black Mesa Pin
Sticker | Big Hugs
Patch | Alyx
Copper Lambda Pin
Half-Life: Alyx Collectible Pins Capsule
★ StatTrak™ Huntsman Knife | Ultraviolet (Factory New)
★ Classic Knife | Scorched (Factory New)
★ StatTrak™ Nomad Knife | Fade (Minimal Wear)
★ StatTrak™ Paracord Knife | Boreal Forest (Factory New)
★ StatTrak™ Skeleton Knife | Urban Masked (Minimal Wear)
Sticker | Last Vance
CMB Pin
Sticker | Lambda (Holo)
★ StatTrak™ Skeleton Knife | Safari Mesh (Minimal Wear)
StatTrak™ AUG | Tom Cat (Factory New)
StatTrak™ MP5-SD | Desert Strike (Factory New)
StatTrak™ R8 Revolver | Bone Forged (Battle-Scarred)
StatTrak™ Desert Eagle | Blue Ply (Well-Worn)
★ Sport Gloves | Superconductor (Factory New)
Sawed-Off | Apocalypto (Minimal Wear)
StatTrak™ SSG 08 | Fever Dream (Field-Tested)
AK-47 | Phantom Disruptor (Factory New)
Glock-18 | Bullet Queen (Factory New)
MP5-SD | Desert Strike (Factory New)
StatTrak™ CZ75-Auto | Distressed (Field-Tested)
StatTrak™ R8 Revolver | Bone Forged (Well-Worn)
StatTrak™ CZ75-Auto | Distressed (Minimal Wear)
StatTrak™ AK-47 | Phantom Disruptor (Factory New)
StatTrak™ M4A1-S | Player Two (Field-Tested)
StatTrak™ Negev | Prototype (Well-Worn)
StatTrak™ Sawed-Off | Apocalypto (Battle-Scarred)
MAC-10 | Disco Tech (Field-Tested)
Sawed-Off | Apocalypto (Battle-Scarred)
StatTrak™ MAG-7 | Justice (Battle-Scarred)
CZ75-Auto | Distressed (Minimal Wear)
M4A1-S | Player Two (Well-Worn)
StatTrak™ SG 553 | Darkwing (Factory New)
AK-47 | Phantom Disruptor (Field-Tested)
AWP | Capillary (Battle-Scarred)
AUG | Tom Cat (Well-Worn)
Souvenir SG 553 | Waves Perforated (Factory New)
SCAR-20 | Enforcer (Factory New)
★ StatTrak™ Skeleton Knife | Boreal Forest (Well-Worn)
StatTrak™ MAG-7 | Justice (Field-Tested)
MAG-7 | Justice (Field-Tested)
AK-47 | Phantom Disruptor (Battle-Scarred)
StatTrak™ SG 553 | Darkwing (Battle-Scarred)
MAG-7 | Justice (Well-Worn)
MP5-SD | Desert Strike (Battle-Scarred)
StatTrak™ AK-47 | Phantom Disruptor (Minimal Wear)
R8 Revolver | Bone Forged (Battle-Scarred)
Civil Protection Pin
Health Pin
Patch | Black Mesa
Sticker | Vortigaunt (Holo)
Patch | Health
Patch | Sustenance!
Half-Life: Alyx Patch Pack
Patch | Headcrab Glyph
P2000 | Acid Etched (Factory New)
Negev | Prototype (Well-Worn)
Glock-18 | Bullet Queen (Minimal Wear)
StatTrak™ AUG | Tom Cat (Field-Tested)
MAC-10 | Disco Tech (Battle-Scarred)
MAG-7 | Justice (Minimal Wear)
StatTrak™ MP5-SD | Desert Strike (Battle-Scarred)
StatTrak™ MP5-SD | Desert Strike (Minimal Wear)
StatTrak™ Glock-18 | Bullet Queen (Well-Worn)
StatTrak™ R8 Revolver | Bone Forged (Minimal Wear)
SG 553 | Darkwing (Battle-Scarred)
StatTrak™ Sawed-Off | Apocalypto (Field-Tested)
StatTrak™ SG 553 | Darkwing (Minimal Wear)
Glock-18 | Bullet Queen (Well-Worn)
StatTrak™ SCAR-20 | Enforcer (Minimal Wear)
AUG | Tom Cat (Factory New)
SCAR-20 | Enforcer (Field-Tested)
R8 Revolver | Bone Forged (Well-Worn)
StatTrak™ MAC-10 | Disco Tech (Well-Worn)
SSG 08 | Fever Dream (Battle-Scarred)
StatTrak™ MAG-7 | Justice (Well-Worn)
StatTrak™ CZ75-Auto | Distressed (Well-Worn)
StatTrak™ Desert Eagle | Blue Ply (Factory New)
MP5-SD | Desert Strike (Well-Worn)
StatTrak™ AWP | Capillary (Well-Worn)
StatTrak™ Glock-18 | Bullet Queen (Minimal Wear)
AWP | Capillary (Minimal Wear)
StatTrak™ Desert Eagle | Blue Ply (Minimal Wear)
StatTrak™ M4A1-S | Player Two (Factory New)
Prisma 2 Case
StatTrak™ CZ75-Auto | Distressed (Battle-Scarred)
StatTrak™ CZ75-Auto | Distressed (Factory New)
StatTrak™ MAC-10 | Disco Tech (Factory New)
Glock-18 | Bullet Queen (Battle-Scarred)
M4A1-S | Player Two (Minimal Wear)
StatTrak™ M4A1-S | Player Two (Battle-Scarred)
StatTrak™ AUG | Tom Cat (Minimal Wear)
Sawed-Off | Apocalypto (Factory New)
StatTrak™ Negev | Prototype (Battle-Scarred)
StatTrak™ SSG 08 | Fever Dream (Well-Worn)
Patch | Vortigaunt
Sticker | Greetings
StatTrak™ Glock-18 | Bullet Queen (Battle-Scarred)
CZ75-Auto | Distressed (Battle-Scarred)
Sticker | Big Hugs (Holo)
Sticker | Health (Gold)
★ Skeleton Knife | Safari Mesh (Factory New)
StatTrak™ P2000 | Acid Etched (Battle-Scarred)
StatTrak™ P2000 | Acid Etched (Well-Worn)
Desert Eagle | Blue Ply (Battle-Scarred)
P2000 | Acid Etched (Field-Tested)
AUG | Tom Cat (Field-Tested)
Desert Eagle | Blue Ply (Field-Tested)
Glock-18 | Bullet Queen (Field-Tested)
StatTrak™ SCAR-20 | Enforcer (Well-Worn)
Negev | Prototype (Field-Tested)
StatTrak™ MAC-10 | Disco Tech (Field-Tested)
Negev | Prototype (Battle-Scarred)
StatTrak™ AK-47 | Phantom Disruptor (Well-Worn)
CZ75-Auto | Distressed (Field-Tested)
Sticker | Vortigaunt the Painter
StatTrak™ MAG-7 | Justice (Factory New)
Patch | Lambda
City 17 Pin
Sustenance! Pin
Alyx Pin
Patch | Combine Helmet
Sticker | Last Vance (Gold)
Patch | City 17
Vortigaunt Pin
Patch | CMB
StatTrak™ SCAR-20 | Enforcer (Field-Tested)
SCAR-20 | Enforcer (Battle-Scarred)
StatTrak™ AUG | Tom Cat (Battle-Scarred)
StatTrak™ Sawed-Off | Apocalypto (Factory New)
SSG 08 | Fever Dream (Factory New)
StatTrak™ Negev | Prototype (Field-Tested)
R8 Revolver | Bone Forged (Minimal Wear)
StatTrak™ P2000 | Acid Etched (Field-Tested)
MAG-7 | Justice (Battle-Scarred)
StatTrak™ MAG-7 | Justice (Minimal Wear)
SG 553 | Darkwing (Minimal Wear)
StatTrak™ P2000 | Acid Etched (Factory New)
StatTrak™ Desert Eagle | Blue Ply (Field-Tested)
